# Py-span-task
# Written by Titus von der Malsburg <malsburg@posteo.de>
# https://github.com/tmalsburg/py-span-task
# Settings:
# subject id = OSPANsbj016
# allow_sloppy_spelling = False
# heed_order = True
# time_out_factor = 2.5
phase	set.id	num.items	correctly.recalled	correctly.verified	mean.rt	max.rt	presented.items	recalled.items
practice	1	2	2	2	4414	6239	j v	j j v
practice	2	3	3	3	2017	2433	b q h	b q h
practice	3	2	1	2	2059	2089	l k	i k
practice	4	3	3	3	1986	2621	s c f	s c f
test	1	5	5	5	1890	2370	m w r t d	m w r t d
test	2	2	2	2	2386	2776	x z	x z
test	3	5	1	3	3014	6521	n g p j x	j p g
test	4	2	2	2	2122	2590	w n	w n
test	5	4	2	4	1942	2527	m z c l	m c z i
test	6	4	4	3	1981	2588	t d r g	t d r g
test	7	3	3	3	2652	3838	s b f	s b f
test	8	4	4	4	2059	2589	q p k h	q p k h
test	9	2	1	2	2682	2807	v l	v i
test	10	3	3	3	2173	2776	k z h	k z h
test	11	5	4	5	2957	5023	w x d g t	w x g t
test	12	3	3	2	3130	4180	r b f	r b f
# Partial credit unit score (PCU): 0.833
