# Py-span-task
# Written by Titus von der Malsburg <malsburg@posteo.de>
# https://github.com/tmalsburg/py-span-task
# Settings:
# subject id = sbj099
# allow_sloppy_spelling = False
# heed_order = True
# time_out_factor = 2.5
phase	set.id	num.items	correctly.recalled	correctly.verified	mean.rt	max.rt	presented.items	recalled.items
practice	1	2	2	2	5164	5960	w d	w d
practice	2	3	3	3	3577	5366	n f h	n f h
practice	3	3	3	3	3422	4337	k q s	k q s
practice	4	2	2	2	3151	3711	x c	x c
test	1	4	2	4	2807	3805	m v l b	n v i b
test	2	5	5	5	3182	5959	t g r j p	t g r j p
test	3	2	1	2	4398	6457	z v	q v
test	4	5	4	3	3488	5304	g z j l d	g z j i d
test	5	2	2	2	2605	2996	x w	x w
test	6	3	3	3	3421	4181	s c f	s c f
test	7	4	4	4	2987	5023	p h m b	p h m b
test	8	5	5	4	3538	6396	n r k t q	n r k t q
test	9	2	1	2	1560	1746	l d	i d
test	10	3	2	3	4336	5709	r h f	h f
test	11	3	3	2	3307	4211	x n g	x n g
test	12	4	3	3	3213	4960	c q v p	g q v p
# Partial credit unit score (PCU): 0.810
