# Py-span-task
# Written by Titus von der Malsburg <malsburg@posteo.de>
# https://github.com/tmalsburg/py-span-task
# Settings:
# subject id = OSPANsbj012
# allow_sloppy_spelling = False
# heed_order = True
# time_out_factor = 2.5
phase	set.id	num.items	correctly.recalled	correctly.verified	mean.rt	max.rt	presented.items	recalled.items
practice	1	2	1	1	3120	3620	x n	n
practice	2	3	2	1	2839	3620	z j w	z w
practice	3	2	1	2	2496	3088	l f	i f
practice	4	3	3	3	1466	1559	p s b	p s b
test	1	3	3	3	1757	2090	c d m	c d m
test	2	2	2	2	2074	2776	g r	g r
test	3	3	3	3	2381	3245	k t v	k t v
test	4	5	4	5	2346	2963	q h j c l	q h j c i
test	5	5	3	3	2090	2714	h q x m n	x q h m n
test	6	2	2	2	1607	1779	s k	s k
test	7	4	3	4	1871	2963	t f d g	k f d g
test	8	2	2	2	1560	1810	r w	r w
test	9	4	4	4	2121	3244	p v z b	p v z b
test	10	3	3	3	1716	1966	m r l	m r l
test	11	4	4	3	2074	3368	k h b w	k h b w
test	12	5	3	4	1965	2715	t f g v c	k f g v d
# Partial credit unit score (PCU): 0.896
