# Py-span-task
# Written by Titus von der Malsburg <malsburg@posteo.de>
# https://github.com/tmalsburg/py-span-task
# Settings:
# subject id = 015
# allow_sloppy_spelling = False
# heed_order = True
# time_out_factor = 2.5
phase	set.id	num.items	correctly.recalled	correctly.verified	mean.rt	max.rt	presented.items	recalled.items
practice	1	3	3	3	3671	3993	d p b	d p b
practice	2	2	1	2	3790	4055	n q	d q
practice	3	3	3	3	4191	5710	f s t	f s t
practice	4	2	2	2	2776	3026	j v	j v
test	1	3	3	3	3162	4088	x m l	x m l
test	2	2	2	2	2294	2371	g r	g r
test	3	5	5	4	4255	6894	h c z k w	h c z k w
test	4	4	4	3	3962	4617	z w b l	z w b l
test	5	3	3	2	3068	3526	g d h	g d h
test	6	4	4	3	2667	3962	s t x p	s t x p
test	7	2	2	2	1731	2059	n r	n r
test	8	4	4	4	2707	3026	k q v j	k q v j
test	9	5	5	3	4112	6584	c m f t r	c m f t r
test	10	2	2	2	2573	2901	z c	z c
test	11	3	2	3	3234	4212	x g j	x g c
test	12	5	5	4	3032	5115	m v q w h	m v q w h
# Partial credit unit score (PCU): 0.972
