# Py-span-task
# Written by Titus von der Malsburg <malsburg@posteo.de>
# https://github.com/tmalsburg/py-span-task
# Settings:
# subject id = 47
# allow_sloppy_spelling = False
# heed_order = True
# time_out_factor = 2.5
phase	set.id	num.items	correctly.recalled	correctly.verified	mean.rt	max.rt	presented.items	recalled.items
practice	1	2	2	2	2916	3680	g k	g k
practice	2	3	1	3	2391	2901	t d f	t k i
practice	3	3	3	2	3619	5490	x b w	x b w
practice	4	2	1	1	6754	9609	r m	m
test	1	3	2	3	5013	7270	l z j	i z j
test	2	4	4	4	3681	5023	q n v s	q n v s
test	3	3	2	3	3296	3900	p c h	q p h
test	4	2	2	2	2215	2465	w x	w x
test	5	5	5	5	3849	6583	r j f n l	r j f n l
test	6	2	2	2	4087	5398	t h	t h
test	7	5	3	5	3519	4335	z q c m v	z q m z
test	8	5	4	5	3375	3869	s b k d p	s b k d
test	9	4	2	4	4126	7269	g n p v	g k b v
test	10	3	3	3	4253	6832	w s c	w s c
test	11	4	3	3	4422	9608	x f t q	f t q
test	12	2	2	2	2667	2870	h k	h k
# Partial credit unit score (PCU): 0.832
