# Py-span-task
# Written by Titus von der Malsburg <malsburg@posteo.de>
# https://github.com/tmalsburg/py-span-task
# Settings:
# subject id = sbj033
# allow_sloppy_spelling = False
# heed_order = True
# time_out_factor = 2.5
phase	set.id	num.items	correctly.recalled	correctly.verified	mean.rt	max.rt	presented.items	recalled.items
practice	1	2	2	2	4415	4586	v n	v n ]
practice	2	3	3	3	4170	5023	x h c	v n x h c
practice	3	3	2	2	4410	6302	j p t	v n x h c p t
practice	4	2	2	2	4149	5085	m d	v n x h c p t m d
test	1	3	3	2	3037	3276	g b s	g b s
test	2	2	2	2	2449	2559	z q	z q
test	3	5	4	5	3369	4867	l r k w f	i r k w f
test	4	5	4	3	3931	6302	n w f k p	n w f k
test	5	5	5	5	2801	3525	s x r b h	s x r b h
test	6	4	3	4	2652	3556	z l c m	z i c m
test	7	2	2	1	2605	2870	d v	d v
test	8	4	4	4	2230	2808	j q g t	j q g t
test	9	3	3	3	2673	3900	b j f	b j f
test	10	4	4	4	2356	2777	d m s c	d m s c
test	11	2	2	2	1684	1871	r g	r g
test	12	3	3	3	3421	3805	w q p	w q p
# Partial credit unit score (PCU): 0.946
