# Py-span-task
# Written by Titus von der Malsburg <malsburg@posteo.de>
# https://github.com/tmalsburg/py-span-task
# Settings:
# subject id = OSPANsbj088
# allow_sloppy_spelling = False
# heed_order = True
# time_out_factor = 2.5
phase	set.id	num.items	correctly.recalled	correctly.verified	mean.rt	max.rt	presented.items	recalled.items
practice	1	2	2	2	2433	3119	b z	b z
practice	2	3	2	3	1715	1809	q h d	q d
practice	3	2	1	1	1857	2310	p g	i g
practice	4	3	3	3	1830	2215	x f s	x f s
test	1	5	4	4	1697	2152	n l k r v	n i k r v
test	2	3	3	3	1748	2248	j w c	j w c
test	3	3	2	3	2173	2558	m t h	n t h
test	4	4	4	4	1833	2184	x z q j	x z q j
test	5	4	3	3	2403	3807	m g r f	m r f
test	6	2	2	2	1716	1966	v s	v s
test	7	4	1	3	2191	3681	n p b l	n r q i
test	8	5	5	5	1884	2401	t w k d c	t w k d c
test	9	2	2	2	2044	2059	p d	p d
test	10	3	3	3	1861	1964	s k w	s k w
test	11	2	2	2	1794	2278	z h	z h
test	12	5	3	4	1809	2059	m x t v c	m x z q t
# Partial credit unit score (PCU): 0.839
