# Py-span-task
# Written by Titus von der Malsburg <malsburg@posteo.de>
# https://github.com/tmalsburg/py-span-task
# Settings:
# subject id = OSPANsbj093
# allow_sloppy_spelling = False
# heed_order = True
# time_out_factor = 2.5
phase	set.id	num.items	correctly.recalled	correctly.verified	mean.rt	max.rt	presented.items	recalled.items
practice	1	3	3	3	3068	3338	g w h	g w h
practice	2	2	2	2	3369	3743	k t	k t
practice	3	3	3	3	2225	2869	s m l	s m l
practice	4	2	2	2	1748	1841	v x	v x
test	1	2	1	1	3775	4743	r n	n
test	2	3	3	3	1716	1996	q z d	q z d
test	3	5	3	5	2658	3151	f b j c p	f g b c j
test	4	4	4	4	1942	2309	j p m k	j p m k
test	5	3	2	3	2225	2715	z v t	c v t
test	6	5	4	5	2770	3743	h b c q g	h b c q j
test	7	3	3	3	2559	4118	f w s	f w s
test	8	4	4	4	2168	2621	n d r l	n d r l
test	9	5	5	5	2671	3308	x f q h r	x f q h r
test	10	2	2	2	2262	2402	v j	v j
test	11	2	2	2	3712	3868	c l	c l
test	12	4	4	4	2254	2589	p g m n	p g m n
# Partial credit unit score (PCU): 0.881
