# Py-span-task
# Written by Titus von der Malsburg <malsburg@posteo.de>
# https://github.com/tmalsburg/py-span-task
# Settings:
# subject id = 021
# allow_sloppy_spelling = False
# heed_order = True
# time_out_factor = 2.5
phase	set.id	num.items	correctly.recalled	correctly.verified	mean.rt	max.rt	presented.items	recalled.items
practice	1	3	1	1	3775	4805	h m f	f f
practice	2	2	2	2	2527	2621	g c	g c
practice	3	2	2	2	2059	2278	n v	n v
practice	4	3	3	2	2890	3556	s b j	s b j
test	1	2	2	1	3432	3713	t q	t q
test	2	5	4	5	1722	2153	w z p d k	w z p k
test	3	3	2	1	2901	3338	l r x	i r x
test	4	5	2	3	2982	3963	x w s l r	s w s i r
test	5	3	3	3	1934	2401	z b c	z b c
test	6	3	3	3	2683	3213	q p j	q p j
test	7	2	2	2	2823	3244	m d	m d
test	8	5	5	5	2546	3120	n g h k t	n g h k t
test	9	4	4	4	2074	3463	f v w n	f v w n
test	10	2	1	2	2885	3836	l j	i j
test	11	4	4	4	1708	1871	q h t g	q h t g
test	12	4	4	4	1942	2590	b d k p	b d k p
# Partial credit unit score (PCU): 0.864
