# Py-span-task
# Written by Titus von der Malsburg <malsburg@posteo.de>
# https://github.com/tmalsburg/py-span-task
# Settings:
# subject id = OSPANsbj049
# allow_sloppy_spelling = False
# heed_order = True
# time_out_factor = 2.5
phase	set.id	num.items	correctly.recalled	correctly.verified	mean.rt	max.rt	presented.items	recalled.items
practice	1	3	2	2	4544	5960	z v s	v s
practice	2	2	1	2	2823	2995	t j	c j
practice	3	3	2	3	4035	4898	k l n	k i n
practice	4	2	2	2	2558	2901	g r	g r
test	1	2	1	2	4009	4679	p c	c c
test	2	5	5	5	3900	5210	h x w f d	h x w f d
test	3	4	4	4	3073	4242	b q m r	b q m r
test	4	4	3	3	3970	5960	q p m n	q q p m
test	5	3	3	3	3473	5429	x l c	x l c
test	6	4	3	4	2574	3183	h s k w	h c k w
test	7	3	3	3	3026	4523	b v t	b v t
test	8	3	3	3	2797	3307	f g d	f g d
test	9	2	1	1	4696	5960	z j	j
test	10	5	2	3	3063	5959	w v x b p	w v o
test	11	5	4	5	3837	4868	n r k f s	n r k r s
test	12	2	2	2	3151	3838	c t	c t
# Partial credit unit score (PCU): 0.808
